Strain,HP12_haplotype
761761_p21.E5,"p25.C2, 280 strains"
762762_p1.H7,"p25.C2, 280 strains"
766766_p7.E1,"p25.C2, 280 strains"
769769_p4.D10,"p25.C2, 280 strains"
771771_p25.A4,"p25.C2, 280 strains"
773773_p13.H7,"p25.C2, 280 strains"
776776_p21.C4,"p25.C2, 280 strains"
784784_p7.D9,"p25.C2, 280 strains"
785785_p21.C5,"p25.C2, 280 strains"
788788_p12.H3,"p25.C2, 280 strains"
793793_p11.A8,"p25.C2, 280 strains"
794794_p1.B7,"p25.C2, 280 strains"
797797_p3.H8,"p25.C2, 280 strains"
798798_p5.B6,"p25.C2, 280 strains"
799799_p12.G6,"p25.C2, 280 strains"
800800_p2.A6,"p25.C2, 280 strains"
804804_p3.G6,"p25.C2, 280 strains"
806806_p20.G4,"p25.C2, 280 strains"
810810_p7.B7,"p25.C2, 280 strains"
811811_p3.A3,"p25.C2, 280 strains"
814814_p1.D10,"p25.C2, 280 strains"
816816_p2.B3,"p25.C2, 280 strains"
77_p27.A3,"p26.D6, 132 strains"
88_p12.G4,"p26.D6, 132 strains"
99_p2.B8,"p26.D6, 132 strains"
1010_p12.E5,"p26.D6, 132 strains"
2424_p1.C4,"p26.D6, 132 strains"
2525_p23.H9,"p26.D6, 132 strains"
2727_p7.G4,"p26.D6, 132 strains"
2929_p5.F5,"p26.D6, 132 strains"
3131_p13.B8,"p26.D6, 132 strains"
3737_p27.B4,"p26.D6, 132 strains"
4040_p13.H2,"p26.D6, 132 strains"
5151_p26.E7,"p26.D6, 132 strains"
8080_p1.B8,"p26.D6, 132 strains"
8181_p26.C7,"p26.D6, 132 strains"
8383_p26.E9,"p26.D6, 132 strains"
8585_p13.G3,"p26.D6, 132 strains"
101101_p27.B6,"p26.D6, 132 strains"
102102_p3.D8,"p26.D6, 132 strains"
105105_p23.H5,"p26.D6, 132 strains"
113113_p26.C2,"p26.D6, 132 strains"
114114_p7.B8,"p26.D6, 132 strains"
122122_p3.E6,"p26.D6, 132 strains"
123123_p23.B9,"p26.D6, 132 strains"
145145_p26.D8,"p26.D6, 132 strains"
151151_p26.G2,"p26.D6, 132 strains"
156156_p23.B8,"p26.D6, 132 strains"
161161_p5.B8,"p26.D6, 132 strains"
165165_p23.H1,"p26.D6, 132 strains"
169169_p12.B7,"p26.D6, 132 strains"
182182_p27.A7,"p26.D6, 132 strains"
187187_p7.F5,"p26.D6, 132 strains"
192192_p22.A2,"p26.D6, 132 strains"
200200_p26.D6,"p26.D6, 132 strains"
202202_p27.E6,"p26.D6, 132 strains"
203203_p6.C8,"p26.D6, 132 strains"
208208_p26.F2,"p26.D6, 132 strains"
209209_p23.F1,"p26.D6, 132 strains"
210210_p27.A6,"p26.D6, 132 strains"
230230_p13.C3,"p26.D6, 132 strains"
232232_p12.D2,"p26.D6, 132 strains"
241241_p26.E10,"p26.D6, 132 strains"
243243_p12.B8,"p26.D6, 132 strains"
250250_p9.A8,"p26.D6, 132 strains"
265265_p26.F10,"p26.D6, 132 strains"
267267_p6.C9,"p26.D6, 132 strains"
268268_p4.B9,"p26.D6, 132 strains"
269269_p23.D9,"p26.D6, 132 strains"
270270_p13.A8,"p26.D6, 132 strains"
272272_p12.A7,"p26.D6, 132 strains"
274274_p23.G5,"p26.D6, 132 strains"
277277_p3.B8,"p26.D6, 132 strains"
285285_p13.B7,"p26.D6, 132 strains"
286286_p23.C9,"p26.D6, 132 strains"
290290_p23.G1,"p26.D6, 132 strains"
296296_p7.A8,"p26.D6, 132 strains"
309309_p23.E9,"p26.D6, 132 strains"
317317_p27.A1,"p26.D6, 132 strains"
323323_p27.B7,"p26.D6, 132 strains"
326326_p27.E2,"p26.D6, 132 strains"
331331_p27.F4,"p26.D6, 132 strains"
342342_p3.C4,"p26.D6, 132 strains"
349349_p4.B8,"p26.D6, 132 strains"
358358_p8.C8,"p26.D6, 132 strains"
367367_p23.C5,"p26.D6, 132 strains"
370370_p26.G6,"p26.D6, 132 strains"
378378_p26.B2,"p26.D6, 132 strains"
385385_p22.D4,"p26.D6, 132 strains"
395395_p9.D7,"p26.D6, 132 strains"
404404_p23.F5,"p26.D6, 132 strains"
408408_p12.A8,"p26.D6, 132 strains"
424424_p12.C3,"p26.D6, 132 strains"
428428_p22.C4,"p26.D6, 132 strains"
441441_p23.D4,"p26.D6, 132 strains"
448448_p3.F6,"p26.D6, 132 strains"
465465_p1.A8,"p26.D6, 132 strains"
468468_p3.D4,"p26.D6, 132 strains"
472472_p2.C8,"p26.D6, 132 strains"
476476_p22.H2,"p26.D6, 132 strains"
480480_p22.G2,"p26.D6, 132 strains"
488488_p1.D4,"p26.D6, 132 strains"
509509_p22.B2,"p26.D6, 132 strains"
510510_p1.C8,"p26.D6, 132 strains"
513513_p26.H6,"p26.D6, 132 strains"
528528_p23.G9,"p26.D6, 132 strains"
532532_p1.A9,"p26.D6, 132 strains"
533533_p5.G4,"p26.D6, 132 strains"
536536_p26.E2,"p26.D6, 132 strains"
543543_p4.C10,"p26.D6, 132 strains"
546546_p11.C3,"p26.D6, 132 strains"
576576_p27.F5,"p26.D6, 132 strains"
577577_p1.B9,"p26.D6, 132 strains"
580580_p26.D2,"p26.D6, 132 strains"
589589_p23.B5,"p26.D6, 132 strains"
594594_p22.E2,"p26.D6, 132 strains"
596596_p5.A8,"p26.D6, 132 strains"
597597_p23.E6,"p26.D6, 132 strains"
605605_p13.D3,"p26.D6, 132 strains"
609609_p23.E1,"p26.D6, 132 strains"
617617_p2.B9,"p26.D6, 132 strains"
621621_p22.F2,"p26.D6, 132 strains"
625625_p26.E8,"p26.D6, 132 strains"
670670_p5.H4,"p26.D6, 132 strains"
676676_p26.A2,"p26.D6, 132 strains"
679679_p26.D7,"p26.D6, 132 strains"
685685_p27.F6,"p26.D6, 132 strains"
689689_p9.B8,"p26.D6, 132 strains"
690690_p2.B4,"p26.D6, 132 strains"
693693_p23.A6,"p26.D6, 132 strains"
701701_p27.F3,"p26.D6, 132 strains"
702702_p26.H2,"p26.D6, 132 strains"
704704_p26.F9,"p26.D6, 132 strains"
711711_p3.C8,"p26.D6, 132 strains"
713713_p27.E1,"p26.D6, 132 strains"
717717_p26.C3,"p26.D6, 132 strains"
719719_p11.C8,"p26.D6, 132 strains"
720720_p3.G4,"p26.D6, 132 strains"
727727_p22.C2,"p26.D6, 132 strains"
729729_p27.E5,"p26.D6, 132 strains"
734734_p1.H4,"p26.D6, 132 strains"
737737_p23.A7,"p26.D6, 132 strains"
738738_p23.B6,"p26.D6, 132 strains"
749749_p6.B9,"p26.D6, 132 strains"
757757_p9.H4,"p26.D6, 132 strains"
765765_p7.H4,"p26.D6, 132 strains"
779779_p27.A2,"p26.D6, 132 strains"
783783_p26.B4,"p26.D6, 132 strains"
789789_p8.B7,"p26.D6, 132 strains"
795795_p23.C4,"p26.D6, 132 strains"
796796_p3.A8,"p26.D6, 132 strains"
801801_p22.G3,"p26.D6, 132 strains"
805805_p13.G4,"p26.D6, 132 strains"
815815_p23.D5,"p26.D6, 132 strains"
3636_p8.D2,"p25.G1, 41 strains"
4646_p9.E9,"p25.G1, 41 strains"
7979_p5.E9,"p25.G1, 41 strains"
9797_p6.C10,"p25.G1, 41 strains"
111111_p5.F9,"p25.G1, 41 strains"
133133_p11.D2,"p25.G1, 41 strains"
160160_p21.A1,"p25.G1, 41 strains"
183183_p21.G1,"p25.G1, 41 strains"
191191_p7.C3,"p25.G1, 41 strains"
215215_p21.D1,"p25.G1, 41 strains"
227227_p21.H1,"p25.G1, 41 strains"
235235_p2.C10,"p25.G1, 41 strains"
249249_p1.F9,"p25.G1, 41 strains"
318318_p9.F9,"p25.G1, 41 strains"
327327_p21.E1,"p25.G1, 41 strains"
345345_p13.F8,"p25.G1, 41 strains"
361361_p7.D4,"p25.G1, 41 strains"
379379_p25.E1,"p25.G1, 41 strains"
427427_p3.E10,"p25.G1, 41 strains"
436436_p12.E8,"p25.G1, 41 strains"
469469_p25.D1,"p25.G1, 41 strains"
474474_p11.B10,"p25.G1, 41 strains"
504504_p8.C9,"p25.G1, 41 strains"
519519_p5.F8,"p25.G1, 41 strains"
524524_p3.F8,"p25.G1, 41 strains"
549549_p11.C9,"p25.G1, 41 strains"
555555_p12.F9,"p25.G1, 41 strains"
627627_p25.H1,"p25.G1, 41 strains"
630630_p12.E9,"p25.G1, 41 strains"
644644_p3.E9,"p25.G1, 41 strains"
651651_p6.E2,"p25.G1, 41 strains"
653653_p21.B1,"p25.G1, 41 strains"
664664_p11.E2,"p25.G1, 41 strains"
675675_p4.B10,"p25.G1, 41 strains"
709709_p13.E8,"p25.G1, 41 strains"
725725_p13.E9,"p25.G1, 41 strains"
726726_p5.D4,"p25.G1, 41 strains"
802802_p8.E2,"p25.G1, 41 strains"
807807_p2.B10,"p25.G1, 41 strains"
812812_p4.B11,"p25.G1, 41 strains"
813813_p25.G1,"p25.G1, 41 strains"
22_p5.E6,"p5.D5, 89 strains"
2020_p5.D5,"p5.D5, 89 strains"
2222_p13.C5,"p5.D5, 89 strains"
3030_p9.C7,"p5.D5, 89 strains"
3333_p11.B9,"p5.D5, 89 strains"
4242_p21.C1,"p5.D5, 89 strains"
4747_p12.A5,"p5.D5, 89 strains"
4949_p24.H7,"p5.D5, 89 strains"
7575_p24.G7,"p5.D5, 89 strains"
7878_p24.H6,"p5.D5, 89 strains"
8282_p12.C5,"p5.D5, 89 strains"
8686_p20.D7,"p5.D5, 89 strains"
8989_p7.C6,"p5.D5, 89 strains"
9999_p13.H12,"p5.D5, 89 strains"
110110_p25.C1,"p5.D5, 89 strains"
120120_p20.E7,"p5.D5, 89 strains"
126126_p6.C11,"p5.D5, 89 strains"
140140_p3.B5,"p5.D5, 89 strains"
144144_p13.D8,"p5.D5, 89 strains"
158158_p12.D5,"p5.D5, 89 strains"
178178_p13.F9,"p5.D5, 89 strains"
196196_p20.A7,"p5.D5, 89 strains"
219219_p1.B5,"p5.D5, 89 strains"
223223_p9.D5,"p5.D5, 89 strains"
224224_p7.B5,"p5.D5, 89 strains"
233233_p20.C7,"p5.D5, 89 strains"
252252_p9.A5,"p5.D5, 89 strains"
257257_p24.E7,"p5.D5, 89 strains"
262262_p1.C6,"p5.D5, 89 strains"
276276_p7.C5,"p5.D5, 89 strains"
278278_p21.F1,"p5.D5, 89 strains"
280280_p20.H7,"p5.D5, 89 strains"
284284_p12.C7,"p5.D5, 89 strains"
300300_p9.E5,"p5.D5, 89 strains"
308308_p9.C5,"p5.D5, 89 strains"
313313_p7.D6,"p5.D5, 89 strains"
315315_p11.A2,"p5.D5, 89 strains"
322322_p1.D9,"p5.D5, 89 strains"
329329_p5.D7,"p5.D5, 89 strains"
340340_p13.D6,"p5.D5, 89 strains"
341341_p13.D7,"p5.D5, 89 strains"
350350_p24.A7,"p5.D5, 89 strains"
356356_p12.C6,"p5.D5, 89 strains"
357357_p11.C10,"p5.D5, 89 strains"
365365_p1.C9,"p5.D5, 89 strains"
380380_p8.B9,"p5.D5, 89 strains"
393393_p6.D2,"p5.D5, 89 strains"
398398_p5.C5,"p5.D5, 89 strains"
406406_p20.G7,"p5.D5, 89 strains"
418418_p1.B6,"p5.D5, 89 strains"
420420_p12.D6,"p5.D5, 89 strains"
423423_p13.C7,"p5.D5, 89 strains"
445445_p13.C6,"p5.D5, 89 strains"
473473_p11.A3,"p5.D5, 89 strains"
482482_p7.D7,"p5.D5, 89 strains"
492492_p24.C7,"p5.D5, 89 strains"
493493_p24.B7,"p5.D5, 89 strains"
502502_p24.F7,"p5.D5, 89 strains"
518518_p25.A1,"p5.D5, 89 strains"
522522_p3.D6,"p5.D5, 89 strains"
529529_p7.D5,"p5.D5, 89 strains"
561561_p1.D7,"p5.D5, 89 strains"
570570_p9.D6,"p5.D5, 89 strains"
575575_p1.C7,"p5.D5, 89 strains"
608608_p1.A5,"p5.D5, 89 strains"
616616_p6.B10,"p5.D5, 89 strains"
628628_p9.C6,"p5.D5, 89 strains"
635635_p12.B5,"p5.D5, 89 strains"
637637_p8.B8,"p5.D5, 89 strains"
640640_p7.E8,"p5.D5, 89 strains"
641641_p7.A5,"p5.D5, 89 strains"
659659_p5.C6,"p5.D5, 89 strains"
667667_p7.C4,"p5.D5, 89 strains"
674674_p13.A4,"p5.D5, 89 strains"
706706_p5.F6,"p5.D5, 89 strains"
722722_p1.F10,"p5.D5, 89 strains"
750750_p25.F1,"p5.D5, 89 strains"
754754_p6.B11,"p5.D5, 89 strains"
763763_p3.A5,"p5.D5, 89 strains"
764764_p3.C6,"p5.D5, 89 strains"
770770_p5.D6,"p5.D5, 89 strains"
772772_p5.E10,"p5.D5, 89 strains"
778778_p5.F11,"p5.D5, 89 strains"
782782_p9.B5,"p5.D5, 89 strains"
786786_p4.C11,"p5.D5, 89 strains"
790790_p24.D7,"p5.D5, 89 strains"
792792_p5.C7,"p5.D5, 89 strains"
803803_p5.B5,"p5.D5, 89 strains"
808808_p20.B7,"p5.D5, 89 strains"
33_p20.D8,"p20.D8, 43 strains"
55_p20.E8,"p20.D8, 43 strains"
1313_p12.H2,"p20.D8, 43 strains"
1414_p7.E7,"p20.D8, 43 strains"
1818_p23.C8,"p20.D8, 43 strains"
6262_p24.C8,"p20.D8, 43 strains"
6969_p5.H2,"p20.D8, 43 strains"
7373_p24.H8,"p20.D8, 43 strains"
106106_p20.H8,"p20.D8, 43 strains"
138138_p24.G8,"p20.D8, 43 strains"
152152_p26.A10,"p20.D8, 43 strains"
176176_p24.F8,"p20.D8, 43 strains"
190190_p22.B8,"p20.D8, 43 strains"
283283_p24.B8,"p20.D8, 43 strains"
298298_p24.B5,"p20.D8, 43 strains"
324324_p20.G8,"p20.D8, 43 strains"
325325_p1.G2,"p20.D8, 43 strains"
332332_p1.H3,"p20.D8, 43 strains"
344344_p23.C3,"p20.D8, 43 strains"
353353_p22.F7,"p20.D8, 43 strains"
382382_p27.H5,"p20.D8, 43 strains"
413413_p20.F8,"p20.D8, 43 strains"
466466_p7.H3,"p20.D8, 43 strains"
478478_p3.H2,"p20.D8, 43 strains"
487487_p6.D1,"p20.D8, 43 strains"
498498_p23.D3,"p20.D8, 43 strains"
508508_p24.A8,"p20.D8, 43 strains"
517517_p24.E8,"p20.D8, 43 strains"
540540_p22.G7,"p20.D8, 43 strains"
541541_p9.G3,"p20.D8, 43 strains"
602602_p20.A8,"p20.D8, 43 strains"
604604_p22.C8,"p20.D8, 43 strains"
632632_p9.G2,"p20.D8, 43 strains"
636636_p22.C1,"p20.D8, 43 strains"
638638_p23.D2,"p20.D8, 43 strains"
643643_p22.E7,"p20.D8, 43 strains"
650650_p7.G3,"p20.D8, 43 strains"
666666_p24.D8,"p20.D8, 43 strains"
698698_p7.G2,"p20.D8, 43 strains"
714714_p3.G3,"p20.D8, 43 strains"
742742_p26.A9,"p20.D8, 43 strains"
767767_p20.B8,"p20.D8, 43 strains"
774774_p2.D1,"p20.D8, 43 strains"
2626_p23.F2,"p23.B3, 36 strains"
5757_p23.G2,"p23.B3, 36 strains"
6161_p23.C7,"p23.B3, 36 strains"
9292_p9.C3,"p23.B3, 36 strains"
103103_p23.E2,"p23.B3, 36 strains"
134134_p12.H10,"p23.B3, 36 strains"
136136_p23.D6,"p23.B3, 36 strains"
157157_p5.C2,"p23.B3, 36 strains"
185185_p5.E1,"p23.B3, 36 strains"
189189_p3.C1,"p23.B3, 36 strains"
217217_p23.B7,"p23.B3, 36 strains"
239239_p23.H6,"p23.B3, 36 strains"
258258_p23.F6,"p23.B3, 36 strains"
260260_p5.G8,"p23.B3, 36 strains"
266266_p3.G8,"p23.B3, 36 strains"
291291_p26.G9,"p23.B3, 36 strains"
302302_p26.G7,"p23.B3, 36 strains"
305305_p27.B1,"p23.B3, 36 strains"
386386_p27.G3,"p23.B3, 36 strains"
411411_p7.D1,"p23.B3, 36 strains"
412412_p9.E1,"p23.B3, 36 strains"
432432_p23.E7,"p23.B3, 36 strains"
