Strain,HP12_haplotype
p5.B10,"p7.B1, 66 strains (truncated)"
p9.A10,"p7.B1, 66 strains (truncated)"
p4.C9,"p7.B1, 66 strains (truncated)"
p11.B8,"p7.B1, 66 strains (truncated)"
p3.A1,"p7.B1, 66 strains (truncated)"
p12.A2,"p7.B1, 66 strains (truncated)"
p2.D5,"p7.B1, 66 strains (truncated)"
p6.B2,"p7.B1, 66 strains (truncated)"
p12.B1,"p7.B1, 66 strains (truncated)"
p7.A2,"p7.B1, 66 strains (truncated)"
p13.B1,"p7.B1, 66 strains (truncated)"
p1.D8,"p7.B1, 66 strains (truncated)"
p5.A10,"p7.B1, 66 strains (truncated)"
p2.C5,"p7.B1, 66 strains (truncated)"
p20.H5,"p7.B1, 66 strains (truncated)"
p3.B2,"p7.B1, 66 strains (truncated)"
p1.B1,"p7.B1, 66 strains (truncated)"
p24.G5,"p7.B1, 66 strains (truncated)"
p20.G5,"p7.B1, 66 strains (truncated)"
p12.H4,"p7.B1, 66 strains (truncated)"
p12.B10,"p7.B1, 66 strains (truncated)"
p20.A5,"p7.B1, 66 strains (truncated)"
p12.B2,"p7.B1, 66 strains (truncated)"
p13.A1,"p7.B1, 66 strains (truncated)"
p24.E5,"p7.B1, 66 strains (truncated)"
p24.A5,"p7.B1, 66 strains (truncated)"
p7.A11,"p7.B1, 66 strains (truncated)"
p5.B1,"p7.B1, 66 strains (truncated)"
p13.A2,"p7.B1, 66 strains (truncated)"
p24.D5,"p7.B1, 66 strains (truncated)"
p9.A1,"p7.B1, 66 strains (truncated)"
p7.A1,"p7.B1, 66 strains (truncated)"
