"","phage1","phage2","phage3","phage4","phage5","phage6","phage7","phage8"
"p3.A5","2",NA,NA,NA,NA,NA,NA,NA
"p3.A6","2",NA,NA,NA,NA,NA,NA,NA
"p3.A7","2",NA,NA,NA,NA,NA,NA,NA
"p3.A8","2","3",NA,NA,NA,NA,NA,NA
"p3.A9","2",NA,NA,NA,NA,NA,NA,NA
"p3.B1","4","1","2",NA,NA,NA,NA,NA
"p3.B10","1","2",NA,NA,NA,NA,NA,NA
"p3.B11","2","1",NA,NA,NA,NA,NA,NA
"p3.B12","2",NA,NA,NA,NA,NA,NA,NA
"p3.B2","1","4","1","2",NA,NA,NA,NA
"p3.B4","2",NA,NA,NA,NA,NA,NA,NA
"p3.B5","2",NA,NA,NA,NA,NA,NA,NA
"p3.B6","2",NA,NA,NA,NA,NA,NA,NA
"p3.B7","2",NA,NA,NA,NA,NA,NA,NA
"p3.B8","2","3",NA,NA,NA,NA,NA,NA
"p3.B9","2",NA,NA,NA,NA,NA,NA,NA
"p3.C1","2","1","1","4","4",NA,NA,NA
"p3.C10","2",NA,NA,NA,NA,NA,NA,NA
"p3.C11","2",NA,NA,NA,NA,NA,NA,NA
"p3.C12","2",NA,NA,NA,NA,NA,NA,NA
"p3.C2","2",NA,NA,NA,NA,NA,NA,NA
"p3.C3","2",NA,NA,NA,NA,NA,NA,NA
"p3.C4","2",NA,NA,NA,NA,NA,NA,NA
"p3.C5","4",NA,NA,NA,NA,NA,NA,NA
"p3.C6","2",NA,NA,NA,NA,NA,NA,NA
"p3.C8","2","1","1","3",NA,NA,NA,NA
"p3.C9","2",NA,NA,NA,NA,NA,NA,NA
"p3.D1","2","3",NA,NA,NA,NA,NA,NA
"p3.D10","2",NA,NA,NA,NA,NA,NA,NA
"p3.D11","2",NA,NA,NA,NA,NA,NA,NA
"p3.D2","2",NA,NA,NA,NA,NA,NA,NA
"p3.D4","2",NA,NA,NA,NA,NA,NA,NA
"p3.D5","4","1","2",NA,NA,NA,NA,NA
"p3.D6","2",NA,NA,NA,NA,NA,NA,NA
"p3.D8","3","2","1","1",NA,NA,NA,NA
"p3.D9","2",NA,NA,NA,NA,NA,NA,NA
"p3.E1","1","1","4",NA,NA,NA,NA,NA
"p3.E10","2","4","1",NA,NA,NA,NA,NA
"p3.E11","3","2",NA,NA,NA,NA,NA,NA
"p3.E2","4","3","2",NA,NA,NA,NA,NA
"p3.E4","4","2","1",NA,NA,NA,NA,NA
"p3.E5","2","1",NA,NA,NA,NA,NA,NA
"p3.E6","4","2",NA,NA,NA,NA,NA,NA
"p3.E7","2","1",NA,NA,NA,NA,NA,NA
"p3.E8","2",NA,NA,NA,NA,NA,NA,NA
"p3.E9","2","1",NA,NA,NA,NA,NA,NA
"p3.F1","2","1","4","4",NA,NA,NA,NA
"p3.F10","3","2",NA,NA,NA,NA,NA,NA
"p3.F11","2",NA,NA,NA,NA,NA,NA,NA
"p3.F12","2",NA,NA,NA,NA,NA,NA,NA
"p3.F2","2","4","4","1",NA,NA,NA,NA
"p3.F5","2","1",NA,NA,NA,NA,NA,NA
"p3.F6","4","2",NA,NA,NA,NA,NA,NA
"p3.F7","2",NA,NA,NA,NA,NA,NA,NA
"p3.F8","2","1",NA,NA,NA,NA,NA,NA
"p3.G1","2","3",NA,NA,NA,NA,NA,NA
"p3.G11","1","1","1","1","4",NA,NA,NA
"p3.G12","2",NA,NA,NA,NA,NA,NA,NA
"p3.G2","3","2","4",NA,NA,NA,NA,NA
"p3.G3","1","1","2",NA,NA,NA,NA,NA
"p3.G4","2",NA,NA,NA,NA,NA,NA,NA
"p3.G5","3","2",NA,NA,NA,NA,NA,NA
"p3.G6","2",NA,NA,NA,NA,NA,NA,NA
"p3.G7","2",NA,NA,NA,NA,NA,NA,NA
"p3.G8","2","1","1","4","4",NA,NA,NA
"p3.G9","4","4","1","2",NA,NA,NA,NA
"p3.H1","3","2",NA,NA,NA,NA,NA,NA
"p3.H2","1","2","1",NA,NA,NA,NA,NA
"p3.H5","2","3",NA,NA,NA,NA,NA,NA
"p3.H6","2",NA,NA,NA,NA,NA,NA,NA
"p3.H7","2",NA,NA,NA,NA,NA,NA,NA
"p3.H8","1","4","3","2",NA,NA,NA,NA
"p3.H9","2","4","1","1",NA,NA,NA,NA
"p4.A1","2",NA,NA,NA,NA,NA,NA,NA
"p4.A10","3","1","2","4",NA,NA,NA,NA
"p4.A11","2","3",NA,NA,NA,NA,NA,NA
"p4.A2","2",NA,NA,NA,NA,NA,NA,NA
"p4.A5","2",NA,NA,NA,NA,NA,NA,NA
"p4.A6","2",NA,NA,NA,NA,NA,NA,NA
"p4.A7","1","4","1","1",NA,NA,NA,NA
"p4.A8","1","4","1","3",NA,NA,NA,NA
"p4.A9","1","4","2","3",NA,NA,NA,NA
"p4.B1","2","3",NA,NA,NA,NA,NA,NA
"p4.B10","1","2",NA,NA,NA,NA,NA,NA
"p4.B11","1","2",NA,NA,NA,NA,NA,NA
"p4.B2","2",NA,NA,NA,NA,NA,NA,NA
"p4.B3","2",NA,NA,NA,NA,NA,NA,NA
"p4.B4","1",NA,NA,NA,NA,NA,NA,NA
"p4.B5","1","1","1",NA,NA,NA,NA,NA
"p4.B7","2","1",NA,NA,NA,NA,NA,NA
"p4.B8","2",NA,NA,NA,NA,NA,NA,NA
"p4.B9","2",NA,NA,NA,NA,NA,NA,NA
"p4.C1","2","3",NA,NA,NA,NA,NA,NA
"p4.C10","2","4",NA,NA,NA,NA,NA,NA
"p4.C11","2",NA,NA,NA,NA,NA,NA,NA
"p4.C2","2",NA,NA,NA,NA,NA,NA,NA
"p4.C3","2",NA,NA,NA,NA,NA,NA,NA
"p4.C5","1","1",NA,NA,NA,NA,NA,NA
"p4.C6","1","4","3",NA,NA,NA,NA,NA
"p4.C7","1","2","3",NA,NA,NA,NA,NA
"p4.C8","4","2",NA,NA,NA,NA,NA,NA
"p4.C9","2","4",NA,NA,NA,NA,NA,NA
"p4.D1","1","2",NA,NA,NA,NA,NA,NA
"p4.D10","4","2","3","1",NA,NA,NA,NA
"p4.D11","1","4","4",NA,NA,NA,NA,NA
"p4.D2","2",NA,NA,NA,NA,NA,NA,NA
"p4.D3","1","2",NA,NA,NA,NA,NA,NA
"p4.D4","1","4","1",NA,NA,NA,NA,NA
"p4.D6","2",NA,NA,NA,NA,NA,NA,NA
"p4.D8","2",NA,NA,NA,NA,NA,NA,NA
"p4.D9","2",NA,NA,NA,NA,NA,NA,NA
"p4.E1","1","2","3",NA,NA,NA,NA,NA
"p4.E3","1","3","1","1","1",NA,NA,NA
"p4.E4","2","4",NA,NA,NA,NA,NA,NA
"p4.E5","2",NA,NA,NA,NA,NA,NA,NA
"p4.E6","2",NA,NA,NA,NA,NA,NA,NA
"p4.E8","2",NA,NA,NA,NA,NA,NA,NA
"p4.E9","2","4","1","3",NA,NA,NA,NA
"p4.F1","4","2","1",NA,NA,NA,NA,NA
"p4.F10","2",NA,NA,NA,NA,NA,NA,NA
"p4.F11","3","2",NA,NA,NA,NA,NA,NA
"p4.F12","3","2",NA,NA,NA,NA,NA,NA
"p4.F2","4","2","1",NA,NA,NA,NA,NA
"p4.F3","4","2","1",NA,NA,NA,NA,NA
"p4.F4","2","3",NA,NA,NA,NA,NA,NA
"p4.F5","2","3",NA,NA,NA,NA,NA,NA
"p4.F8","4","4","1",NA,NA,NA,NA,NA
"p4.F9","2",NA,NA,NA,NA,NA,NA,NA
"p4.G1","1","2","4",NA,NA,NA,NA,NA
"p4.G11","1",NA,NA,NA,NA,NA,NA,NA
"p4.G2","1",NA,NA,NA,NA,NA,NA,NA
"p4.G3","1","1","1",NA,NA,NA,NA,NA
"p4.G4","2","4","1",NA,NA,NA,NA,NA
"p4.G6","3",NA,NA,NA,NA,NA,NA,NA
"p4.G8","1","2",NA,NA,NA,NA,NA,NA
"p4.G9","2","1","4",NA,NA,NA,NA,NA
"p4.H1","1","4","2",NA,NA,NA,NA,NA
"p4.H10","1","1",NA,NA,NA,NA,NA,NA
"p4.H11","1",NA,NA,NA,NA,NA,NA,NA
"p4.H2","4","4","1","1","4",NA,NA,NA
"p4.H3","1","1",NA,NA,NA,NA,NA,NA
"p4.H4","2","1","4",NA,NA,NA,NA,NA
"p4.H5","4","4","2",NA,NA,NA,NA,NA
"p4.H6","3",NA,NA,NA,NA,NA,NA,NA
"p4.H8","2","1","4",NA,NA,NA,NA,NA
"p4.H9","2",NA,NA,NA,NA,NA,NA,NA
"p5.A1","1","2","4",NA,NA,NA,NA,NA
"p5.A10","2","4","4",NA,NA,NA,NA,NA
"p5.A11","2",NA,NA,NA,NA,NA,NA,NA
"p5.A12","2",NA,NA,NA,NA,NA,NA,NA
"p5.A2","2","4","1","1",NA,NA,NA,NA
"p5.A3","2",NA,NA,NA,NA,NA,NA,NA
"p5.A4","2",NA,NA,NA,NA,NA,NA,NA
"p5.A5","2",NA,NA,NA,NA,NA,NA,NA
"p5.A6","2",NA,NA,NA,NA,NA,NA,NA
"p5.A7","2",NA,NA,NA,NA,NA,NA,NA
"p5.A8","2","3",NA,NA,NA,NA,NA,NA
"p5.A9","2",NA,NA,NA,NA,NA,NA,NA
"p5.B1","2","1","4","1",NA,NA,NA,NA
"p5.B10","4","4","4","2",NA,NA,NA,NA
"p5.B11","2","1",NA,NA,NA,NA,NA,NA
"p5.B2","1","1","4","2",NA,NA,NA,NA
"p5.B3","2",NA,NA,NA,NA,NA,NA,NA
"p5.B4","2",NA,NA,NA,NA,NA,NA,NA
"p5.B5","2",NA,NA,NA,NA,NA,NA,NA
"p5.B6","2",NA,NA,NA,NA,NA,NA,NA
"p5.B7","2",NA,NA,NA,NA,NA,NA,NA
"p5.B8","3","2",NA,NA,NA,NA,NA,NA
"p5.B9","2",NA,NA,NA,NA,NA,NA,NA
"p5.C1","3","2",NA,NA,NA,NA,NA,NA
"p5.C10","2",NA,NA,NA,NA,NA,NA,NA
"p5.C2","2","1","1","4","4",NA,NA,NA
"p5.C3","2",NA,NA,NA,NA,NA,NA,NA
"p5.C4","4","2",NA,NA,NA,NA,NA,NA
"p5.C5","2",NA,NA,NA,NA,NA,NA,NA
"p5.C6","2",NA,NA,NA,NA,NA,NA,NA
"p5.C7","2",NA,NA,NA,NA,NA,NA,NA
"p5.C8","2",NA,NA,NA,NA,NA,NA,NA
"p5.C9","2",NA,NA,NA,NA,NA,NA,NA
"p5.D1","4","2",NA,NA,NA,NA,NA,NA
"p5.D10","2",NA,NA,NA,NA,NA,NA,NA
"p5.D12","2",NA,NA,NA,NA,NA,NA,NA
"p5.D2","2",NA,NA,NA,NA,NA,NA,NA
"p5.D3","2",NA,NA,NA,NA,NA,NA,NA
"p5.D4","2","1",NA,NA,NA,NA,NA,NA
"p5.D5","2",NA,NA,NA,NA,NA,NA,NA
"p5.D6","2",NA,NA,NA,NA,NA,NA,NA
"p5.D7","2","1",NA,NA,NA,NA,NA,NA
"p5.D8","2",NA,NA,NA,NA,NA,NA,NA
"p5.D9","2",NA,NA,NA,NA,NA,NA,NA
"p5.E1","2","4","1","1","4",NA,NA,NA
"p5.E10","2",NA,NA,NA,NA,NA,NA,NA
"p5.E11","2","3",NA,NA,NA,NA,NA,NA
"p5.E12","2",NA,NA,NA,NA,NA,NA,NA
"p5.E2","4","3","1","2",NA,NA,NA,NA
"p5.E3","2","3",NA,NA,NA,NA,NA,NA
"p5.E4","3","2",NA,NA,NA,NA,NA,NA
"p5.E6","4","1","4","2",NA,NA,NA,NA
"p5.E7","1","2",NA,NA,NA,NA,NA,NA
"p5.E8","2",NA,NA,NA,NA,NA,NA,NA
"p5.E9","2","1",NA,NA,NA,NA,NA,NA
"p5.F1","4","1","3","2",NA,NA,NA,NA
"p5.F10","3","2",NA,NA,NA,NA,NA,NA
"p5.F11","2",NA,NA,NA,NA,NA,NA,NA
"p5.F2","1","3","4",NA,NA,NA,NA,NA
"p5.F3","2","3",NA,NA,NA,NA,NA,NA
"p5.F4","3","2",NA,NA,NA,NA,NA,NA
"p5.F5","4","2",NA,NA,NA,NA,NA,NA
"p5.F6","4","1","2","4","4",NA,NA,NA
"p5.F7","2",NA,NA,NA,NA,NA,NA,NA
"p5.F8","2","1",NA,NA,NA,NA,NA,NA
"p5.F9","2","1",NA,NA,NA,NA,NA,NA
"p5.G1","3","2",NA,NA,NA,NA,NA,NA
"p5.G11","2",NA,NA,NA,NA,NA,NA,NA
"p5.G12","2",NA,NA,NA,NA,NA,NA,NA
"p5.G2","4","3","2","1",NA,NA,NA,NA
"p5.G3","1","2","3","4",NA,NA,NA,NA
"p5.G4","2","4","3",NA,NA,NA,NA,NA
"p5.G5","3","2",NA,NA,NA,NA,NA,NA
"p5.G6","2",NA,NA,NA,NA,NA,NA,NA
"p5.G7","2",NA,NA,NA,NA,NA,NA,NA
"p5.G8","2","1","1","4",NA,NA,NA,NA
"p5.G9","4","2","1","4","4",NA,NA,NA
"p5.H1","2","3",NA,NA,NA,NA,NA,NA
"p5.H11","2",NA,NA,NA,NA,NA,NA,NA
"p5.H2","1","2","1",NA,NA,NA,NA,NA
"p5.H4","2","4","3",NA,NA,NA,NA,NA
"p5.H5","3","2",NA,NA,NA,NA,NA,NA
"p5.H6","2",NA,NA,NA,NA,NA,NA,NA
"p5.H7","2",NA,NA,NA,NA,NA,NA,NA
"p5.H8","3","2","4","1",NA,NA,NA,NA
"p5.H9","4","2","1","3",NA,NA,NA,NA
"p6.A1","2",NA,NA,NA,NA,NA,NA,NA
"p6.A10","4","1","3","2",NA,NA,NA,NA
"p6.A11","2","3",NA,NA,NA,NA,NA,NA
"p6.A5","2",NA,NA,NA,NA,NA,NA,NA
"p6.A6","2",NA,NA,NA,NA,NA,NA,NA
"p6.A7","1","2",NA,NA,NA,NA,NA,NA
"p6.A8","2",NA,NA,NA,NA,NA,NA,NA
"p6.A9","4","3","2",NA,NA,NA,NA,NA
"p6.B1","2","3",NA,NA,NA,NA,NA,NA
"p6.B10","1","4","2","4",NA,NA,NA,NA
"p6.B11","2",NA,NA,NA,NA,NA,NA,NA
"p6.B2","2","1","1",NA,NA,NA,NA,NA
"p6.B3","2",NA,NA,NA,NA,NA,NA,NA
"p6.B4","1","1",NA,NA,NA,NA,NA,NA
"p6.B5","3","1","1","1","1","1","1","1"
"p6.B6","3","2","1",NA,NA,NA,NA,NA
"p6.B7","2","3","1",NA,NA,NA,NA,NA
"p6.B8","4","2",NA,NA,NA,NA,NA,NA
"p6.B9","2",NA,NA,NA,NA,NA,NA,NA
"p6.C1","3","2",NA,NA,NA,NA,NA,NA
"p6.C10","1","2",NA,NA,NA,NA,NA,NA
"p6.C11","2",NA,NA,NA,NA,NA,NA,NA
"p6.C2","2",NA,NA,NA,NA,NA,NA,NA
"p6.C3","2",NA,NA,NA,NA,NA,NA,NA
"p6.C4","1","1",NA,NA,NA,NA,NA,NA
"p6.C5","1","1",NA,NA,NA,NA,NA,NA
"p6.C6","3","2","1",NA,NA,NA,NA,NA
"p6.C7","1","2","3",NA,NA,NA,NA,NA
"p6.C8","2",NA,NA,NA,NA,NA,NA,NA
"p6.C9","2",NA,NA,NA,NA,NA,NA,NA
"p6.D1","2","1",NA,NA,NA,NA,NA,NA
"p6.D10","1","1","4","1","4","1",NA,NA
"p6.D11","1","2","4",NA,NA,NA,NA,NA
"p6.D2","2",NA,NA,NA,NA,NA,NA,NA
"p6.D3","2",NA,NA,NA,NA,NA,NA,NA
"p6.D4","2",NA,NA,NA,NA,NA,NA,NA
"p6.D5","2","4",NA,NA,NA,NA,NA,NA
"p6.D6","2",NA,NA,NA,NA,NA,NA,NA
"p6.D7","2",NA,NA,NA,NA,NA,NA,NA
"p6.D8","2",NA,NA,NA,NA,NA,NA,NA
"p6.D9","4","2","3",NA,NA,NA,NA,NA
"p6.E1","3","2",NA,NA,NA,NA,NA,NA
"p6.E10","2","4","3",NA,NA,NA,NA,NA
"p6.E11","1","4","4",NA,NA,NA,NA,NA
"p6.E2","1","2",NA,NA,NA,NA,NA,NA
"p6.E3","2",NA,NA,NA,NA,NA,NA,NA
"p6.E4","1","3","2",NA,NA,NA,NA,NA
"p6.E6","2",NA,NA,NA,NA,NA,NA,NA
"p6.E7","2",NA,NA,NA,NA,NA,NA,NA
"p6.E8","2",NA,NA,NA,NA,NA,NA,NA
"p6.E9","1","1","4",NA,NA,NA,NA,NA
"p6.F1","4","1","1",NA,NA,NA,NA,NA
"p6.F10","3","2",NA,NA,NA,NA,NA,NA
"p6.F11","3","2",NA,NA,NA,NA,NA,NA
"p6.F12","3","2",NA,NA,NA,NA,NA,NA
"p6.F2","4","2","1",NA,NA,NA,NA,NA
"p6.F3","3","2",NA,NA,NA,NA,NA,NA
"p6.F4","3","2",NA,NA,NA,NA,NA,NA
"p6.F5","3","2",NA,NA,NA,NA,NA,NA
"p6.F8","3","2",NA,NA,NA,NA,NA,NA
"p6.F9","2","3",NA,NA,NA,NA,NA,NA
"p6.G1","1","2","4",NA,NA,NA,NA,NA
"p6.G10","1","1",NA,NA,NA,NA,NA,NA
"p6.G2","2",NA,NA,NA,NA,NA,NA,NA
"p6.G3","1","1","4","2",NA,NA,NA,NA
"p6.G4","2","1","4",NA,NA,NA,NA,NA
"p6.G5","4","2",NA,NA,NA,NA,NA,NA
"p6.G6","3",NA,NA,NA,NA,NA,NA,NA
"p6.G8","2","1","4",NA,NA,NA,NA,NA
"p6.G9","4","1","2",NA,NA,NA,NA,NA
"p6.H1","2","1","1",NA,NA,NA,NA,NA
"p6.H10","4","2","3",NA,NA,NA,NA,NA
"p6.H11","3","2",NA,NA,NA,NA,NA,NA
"p6.H2","1","1","1",NA,NA,NA,NA,NA
"p6.H6","4","2",NA,NA,NA,NA,NA,NA
"p6.H7","1","2",NA,NA,NA,NA,NA,NA
"p6.H8","2",NA,NA,NA,NA,NA,NA,NA
"p6.H9","2","4",NA,NA,NA,NA,NA,NA
"p7.A1","1","1","4","2",NA,NA,NA,NA
"p7.A10","2","1",NA,NA,NA,NA,NA,NA
"p7.A11","4","4","4","2",NA,NA,NA,NA
"p7.A12","2","1",NA,NA,NA,NA,NA,NA
"p7.A2","1","4","2",NA,NA,NA,NA,NA
"p7.A3","2",NA,NA,NA,NA,NA,NA,NA
"p7.A4","2",NA,NA,NA,NA,NA,NA,NA
"p7.A5","2",NA,NA,NA,NA,NA,NA,NA
"p7.A6","2",NA,NA,NA,NA,NA,NA,NA
"p7.A7","2",NA,NA,NA,NA,NA,NA,NA
"p7.A8","3","2",NA,NA,NA,NA,NA,NA
"p7.A9","4","1","1",NA,NA,NA,NA,NA
"p7.B1","2","1","1","4",NA,NA,NA,NA
"p7.B10","1","2",NA,NA,NA,NA,NA,NA
"p7.B11","1","2",NA,NA,NA,NA,NA,NA
"p7.B2","2","1","4",NA,NA,NA,NA,NA
"p7.B3","2",NA,NA,NA,NA,NA,NA,NA
"p7.B4","2",NA,NA,NA,NA,NA,NA,NA
"p7.B5","2",NA,NA,NA,NA,NA,NA,NA
"p7.B6","2",NA,NA,NA,NA,NA,NA,NA
"p7.B7","2",NA,NA,NA,NA,NA,NA,NA
"p7.B8","3","2",NA,NA,NA,NA,NA,NA
"p7.C1","2",NA,NA,NA,NA,NA,NA,NA
"p7.C12","2","3",NA,NA,NA,NA,NA,NA
"p7.C2","2",NA,NA,NA,NA,NA,NA,NA
"p7.C3","2","1",NA,NA,NA,NA,NA,NA
"p7.C4","2",NA,NA,NA,NA,NA,NA,NA
"p7.C5","2",NA,NA,NA,NA,NA,NA,NA
"p7.C6","2",NA,NA,NA,NA,NA,NA,NA
"p7.C7","2",NA,NA,NA,NA,NA,NA,NA
"p7.C8","2",NA,NA,NA,NA,NA,NA,NA
"p7.C9","2",NA,NA,NA,NA,NA,NA,NA
"p7.D1","4","1","2","1","4",NA,NA,NA
"p7.D10","2",NA,NA,NA,NA,NA,NA,NA
"p7.D12","3","2",NA,NA,NA,NA,NA,NA
"p7.D2","2",NA,NA,NA,NA,NA,NA,NA
"p7.D3","2",NA,NA,NA,NA,NA,NA,NA
"p7.D4","2","1",NA,NA,NA,NA,NA,NA
"p7.D5","2",NA,NA,NA,NA,NA,NA,NA
"p7.D6","2",NA,NA,NA,NA,NA,NA,NA
"p7.D7","2",NA,NA,NA,NA,NA,NA,NA
"p7.D8","2",NA,NA,NA,NA,NA,NA,NA
"p7.D9","2",NA,NA,NA,NA,NA,NA,NA
"p7.E1","4","1","3","2",NA,NA,NA,NA
"p7.E10","2",NA,NA,NA,NA,NA,NA,NA
"p7.E11","2",NA,NA,NA,NA,NA,NA,NA
"p7.E12","4","3","2",NA,NA,NA,NA,NA
"p7.E2","4","1",NA,NA,NA,NA,NA,NA
"p7.E3","3","2",NA,NA,NA,NA,NA,NA
"p7.E4","1","2",NA,NA,NA,NA,NA,NA
"p7.E5","2",NA,NA,NA,NA,NA,NA,NA
"p7.E6","2",NA,NA,NA,NA,NA,NA,NA
"p7.E7","1","1","2",NA,NA,NA,NA,NA
"p7.E8","2",NA,NA,NA,NA,NA,NA,NA
"p7.E9","3","2",NA,NA,NA,NA,NA,NA
"p7.F1","2","3","4",NA,NA,NA,NA,NA
"p7.F10","2","3",NA,NA,NA,NA,NA,NA
"p7.F12","2",NA,NA,NA,NA,NA,NA,NA
"p7.F2","2","1",NA,NA,NA,NA,NA,NA
"p7.F3","2","3",NA,NA,NA,NA,NA,NA
"p7.F4","2","1",NA,NA,NA,NA,NA,NA
"p7.F5","2","4",NA,NA,NA,NA,NA,NA
"p7.F6","2",NA,NA,NA,NA,NA,NA,NA
"p7.F7","2",NA,NA,NA,NA,NA,NA,NA
"p7.F9","1","2","3",NA,NA,NA,NA,NA
"p7.G1","2","3","1",NA,NA,NA,NA,NA
"p7.G11","2",NA,NA,NA,NA,NA,NA,NA
"p7.G2","2","1","1",NA,NA,NA,NA,NA
"p7.G3","1","2","1",NA,NA,NA,NA,NA
"p7.G4","2","3","4",NA,NA,NA,NA,NA
"p7.G5","3","2",NA,NA,NA,NA,NA,NA
"p7.G6","2",NA,NA,NA,NA,NA,NA,NA
"p7.G7","2",NA,NA,NA,NA,NA,NA,NA
"p7.G8","4","2","1","3",NA,NA,NA,NA
"p7.H1","3","2","1",NA,NA,NA,NA,NA
"p7.H10","2",NA,NA,NA,NA,NA,NA,NA
"p7.H11","2",NA,NA,NA,NA,NA,NA,NA
"p7.H2","3","4","2","1",NA,NA,NA,NA
"p7.H3","1","1","2",NA,NA,NA,NA,NA
"p7.H4","2","3","4",NA,NA,NA,NA,NA
"p7.H5","2","3",NA,NA,NA,NA,NA,NA
"p7.H6","2",NA,NA,NA,NA,NA,NA,NA
"p7.H7","2",NA,NA,NA,NA,NA,NA,NA
"p7.H8","4","1","3","2",NA,NA,NA,NA
"p7.H9","4",NA,NA,NA,NA,NA,NA,NA
"p8.A1","2",NA,NA,NA,NA,NA,NA,NA
"p8.A10","3","2",NA,NA,NA,NA,NA,NA
"p8.A11","3","2",NA,NA,NA,NA,NA,NA
"p8.A2","4","4","1","2",NA,NA,NA,NA
"p8.A5","2",NA,NA,NA,NA,NA,NA,NA
"p8.A7","2",NA,NA,NA,NA,NA,NA,NA
"p8.A8","1","4","1","1","1",NA,NA,NA
"p8.A9","2","4","3","1",NA,NA,NA,NA
"p8.B2","2",NA,NA,NA,NA,NA,NA,NA
"p8.B3","2",NA,NA,NA,NA,NA,NA,NA
"p8.B4","1","4","3",NA,NA,NA,NA,NA
"p8.B5","1","3","2",NA,NA,NA,NA,NA
"p8.B6","2","4",NA,NA,NA,NA,NA,NA
"p8.B7","2",NA,NA,NA,NA,NA,NA,NA
"p8.B8","2",NA,NA,NA,NA,NA,NA,NA
"p8.B9","2",NA,NA,NA,NA,NA,NA,NA
"p8.C1","3","2",NA,NA,NA,NA,NA,NA
"p8.C2","2",NA,NA,NA,NA,NA,NA,NA
"p8.C3","2",NA,NA,NA,NA,NA,NA,NA
"p8.C4","1","2",NA,NA,NA,NA,NA,NA
"p8.C5","1","3","4",NA,NA,NA,NA,NA
"p8.C6","2","3","1",NA,NA,NA,NA,NA
"p8.C7","2","4",NA,NA,NA,NA,NA,NA
"p8.C8","2",NA,NA,NA,NA,NA,NA,NA
"p8.C9","1","2",NA,NA,NA,NA,NA,NA
"p8.D1","2","3",NA,NA,NA,NA,NA,NA
"p8.D10","3","2",NA,NA,NA,NA,NA,NA
"p8.D11","4",NA,NA,NA,NA,NA,NA,NA
"p8.D2","1","2",NA,NA,NA,NA,NA,NA
"p8.D3","1","1","4",NA,NA,NA,NA,NA
"p8.D4","1","1","4",NA,NA,NA,NA,NA
"p8.D5","2",NA,NA,NA,NA,NA,NA,NA
"p8.D6","2",NA,NA,NA,NA,NA,NA,NA
"p8.D8","2",NA,NA,NA,NA,NA,NA,NA
"p8.D9","1","2","3","4",NA,NA,NA,NA
"p8.E1","3","2",NA,NA,NA,NA,NA,NA
"p8.E10","2","4","3",NA,NA,NA,NA,NA
"p8.E11","1","4",NA,NA,NA,NA,NA,NA
"p8.E2","2","1",NA,NA,NA,NA,NA,NA
"p8.E3","1","1","4",NA,NA,NA,NA,NA
"p8.E4","1","2",NA,NA,NA,NA,NA,NA
"p8.E5","3","2",NA,NA,NA,NA,NA,NA
"p8.E6","2",NA,NA,NA,NA,NA,NA,NA
"p8.E7","2",NA,NA,NA,NA,NA,NA,NA
"p8.E8","2",NA,NA,NA,NA,NA,NA,NA
"p8.E9","4","3","2",NA,NA,NA,NA,NA
"p8.F1","2","1","4",NA,NA,NA,NA,NA
"p8.F10","3","2",NA,NA,NA,NA,NA,NA
"p8.F11","2",NA,NA,NA,NA,NA,NA,NA
"p8.F12","2",NA,NA,NA,NA,NA,NA,NA
"p8.F2","4","1","2",NA,NA,NA,NA,NA
"p8.F3","3","2",NA,NA,NA,NA,NA,NA
"p8.F4","2","3",NA,NA,NA,NA,NA,NA
"p8.F5","3","2",NA,NA,NA,NA,NA,NA
"p8.F8","4","3","2",NA,NA,NA,NA,NA
"p8.G1","4","1","2",NA,NA,NA,NA,NA
"p8.G10","1",NA,NA,NA,NA,NA,NA,NA
"p8.G2","1","4",NA,NA,NA,NA,NA,NA
"p8.G3","1","4","2",NA,NA,NA,NA,NA
"p8.G4","4","2","1",NA,NA,NA,NA,NA
"p8.G5","4","1","2",NA,NA,NA,NA,NA
"p8.G6","4","2","4",NA,NA,NA,NA,NA
"p8.G7","2","4","1",NA,NA,NA,NA,NA
"p8.G8","3","1",NA,NA,NA,NA,NA,NA
"p8.G9","1","1",NA,NA,NA,NA,NA,NA
"p8.H1","4","2","1",NA,NA,NA,NA,NA
"p8.H2","2",NA,NA,NA,NA,NA,NA,NA
"p8.H3","3","1",NA,NA,NA,NA,NA,NA
"p8.H4","4","2","1",NA,NA,NA,NA,NA
"p8.H5","2","4",NA,NA,NA,NA,NA,NA
"p8.H6","2","4",NA,NA,NA,NA,NA,NA
"p8.H7","2",NA,NA,NA,NA,NA,NA,NA
"p8.H8","2","1",NA,NA,NA,NA,NA,NA
"p8.H9","3","1",NA,NA,NA,NA,NA,NA
"p9.A1","2","1","4","1",NA,NA,NA,NA
"p9.A10","2","4","4","4",NA,NA,NA,NA
"p9.A11","2",NA,NA,NA,NA,NA,NA,NA
"p9.A2","2","1","1","4",NA,NA,NA,NA
"p9.A3","2",NA,NA,NA,NA,NA,NA,NA
"p9.A4","2",NA,NA,NA,NA,NA,NA,NA
"p9.A5","2",NA,NA,NA,NA,NA,NA,NA
"p9.A6","2",NA,NA,NA,NA,NA,NA,NA
"p9.A7","2",NA,NA,NA,NA,NA,NA,NA
"p9.A8","3","2",NA,NA,NA,NA,NA,NA
"p9.A9","1","2",NA,NA,NA,NA,NA,NA
"p9.B1","4","1","2",NA,NA,NA,NA,NA
"p9.B10","2","4","4","4",NA,NA,NA,NA
