"","phage1","phage2","phage3","phage4","phage5","phage6","phage7","phage8"
"p12.D5","2",NA,NA,NA,NA,NA,NA,NA
"p12.D6","2",NA,NA,NA,NA,NA,NA,NA
"p12.D8","2",NA,NA,NA,NA,NA,NA,NA
"p12.D9","2",NA,NA,NA,NA,NA,NA,NA
"p12.E1","4","1","3","2",NA,NA,NA,NA
"p12.E10","2","3",NA,NA,NA,NA,NA,NA
"p12.E11","3","2",NA,NA,NA,NA,NA,NA
"p12.E2","3","2","1",NA,NA,NA,NA,NA
"p12.E3","2",NA,NA,NA,NA,NA,NA,NA
"p12.E4","2","1",NA,NA,NA,NA,NA,NA
"p12.E5","4","2",NA,NA,NA,NA,NA,NA
"p12.E6","1","2",NA,NA,NA,NA,NA,NA
"p12.E7","2",NA,NA,NA,NA,NA,NA,NA
"p12.E8","1","2",NA,NA,NA,NA,NA,NA
"p12.E9","2","1",NA,NA,NA,NA,NA,NA
"p12.F1","2","1","4","4","1","1",NA,NA
"p12.F10","3","2",NA,NA,NA,NA,NA,NA
"p12.F11","2","3",NA,NA,NA,NA,NA,NA
"p12.F12","1",NA,NA,NA,NA,NA,NA,NA
"p12.F2","2","3",NA,NA,NA,NA,NA,NA
"p12.F3","3","2",NA,NA,NA,NA,NA,NA
"p12.F6","2","1",NA,NA,NA,NA,NA,NA
"p12.F9","1","2",NA,NA,NA,NA,NA,NA
"p12.G1","1","2",NA,NA,NA,NA,NA,NA
"p12.G2","4","1","3","2",NA,NA,NA,NA
"p12.G3","4","3","2",NA,NA,NA,NA,NA
"p12.G4","2","4","3",NA,NA,NA,NA,NA
"p12.G5","2",NA,NA,NA,NA,NA,NA,NA
"p12.G6","2",NA,NA,NA,NA,NA,NA,NA
"p12.G7","2","3",NA,NA,NA,NA,NA,NA
"p12.G8","3","2","4","1",NA,NA,NA,NA
"p12.H1","3","1","2",NA,NA,NA,NA,NA
"p12.H10","4","1","4","1","2",NA,NA,NA
"p12.H2","2","1","1",NA,NA,NA,NA,NA
"p12.H3","4","3","2",NA,NA,NA,NA,NA
"p12.H4","2","4",NA,NA,NA,NA,NA,NA
"p12.H5","2",NA,NA,NA,NA,NA,NA,NA
"p12.H6","2",NA,NA,NA,NA,NA,NA,NA
"p12.H7","1",NA,NA,NA,NA,NA,NA,NA
"p12.H8","1","4","1","1","2",NA,NA,NA
"p12.H9","1","4",NA,NA,NA,NA,NA,NA
"p13.A1","2","1","1","4",NA,NA,NA,NA
"p13.A10","2",NA,NA,NA,NA,NA,NA,NA
"p13.A11","2",NA,NA,NA,NA,NA,NA,NA
"p13.A2","2","1","4",NA,NA,NA,NA,NA
"p13.A3","2",NA,NA,NA,NA,NA,NA,NA
"p13.A4","2",NA,NA,NA,NA,NA,NA,NA
"p13.A8","3","2",NA,NA,NA,NA,NA,NA
"p13.B1","2","4","1",NA,NA,NA,NA,NA
"p13.B10","2",NA,NA,NA,NA,NA,NA,NA
"p13.B2","2","4","1",NA,NA,NA,NA,NA
"p13.B3","2",NA,NA,NA,NA,NA,NA,NA
"p13.B4","2",NA,NA,NA,NA,NA,NA,NA
"p13.B5","2",NA,NA,NA,NA,NA,NA,NA
"p13.B6","2",NA,NA,NA,NA,NA,NA,NA
"p13.B7","2","3",NA,NA,NA,NA,NA,NA
"p13.B8","3","2",NA,NA,NA,NA,NA,NA
"p13.B9","2",NA,NA,NA,NA,NA,NA,NA
"p13.C1","2",NA,NA,NA,NA,NA,NA,NA
"p13.C10","1","4",NA,NA,NA,NA,NA,NA
"p13.C11","2","1",NA,NA,NA,NA,NA,NA
"p13.C12","4","2",NA,NA,NA,NA,NA,NA
"p13.C2","2",NA,NA,NA,NA,NA,NA,NA
"p13.C3","2",NA,NA,NA,NA,NA,NA,NA
"p13.C5","2",NA,NA,NA,NA,NA,NA,NA
"p13.C6","2",NA,NA,NA,NA,NA,NA,NA
"p13.C7","2",NA,NA,NA,NA,NA,NA,NA
"p13.C8","2",NA,NA,NA,NA,NA,NA,NA
"p13.C9","2",NA,NA,NA,NA,NA,NA,NA
"p13.D1","2",NA,NA,NA,NA,NA,NA,NA
"p13.D10","2","4","1",NA,NA,NA,NA,NA
"p13.D11","1","4",NA,NA,NA,NA,NA,NA
"p13.D12","1","2",NA,NA,NA,NA,NA,NA
"p13.D2","2",NA,NA,NA,NA,NA,NA,NA
"p13.D3","2",NA,NA,NA,NA,NA,NA,NA
"p13.D5","4","1","4","2",NA,NA,NA,NA
"p13.D6","2",NA,NA,NA,NA,NA,NA,NA
"p13.D7","2",NA,NA,NA,NA,NA,NA,NA
"p13.D8","2",NA,NA,NA,NA,NA,NA,NA
"p13.D9","2",NA,NA,NA,NA,NA,NA,NA
"p13.E1","4","1",NA,NA,NA,NA,NA,NA
"p13.E10","2","3",NA,NA,NA,NA,NA,NA
"p13.E11","3","2",NA,NA,NA,NA,NA,NA
"p13.E12","2",NA,NA,NA,NA,NA,NA,NA
"p13.E2","3","1","2",NA,NA,NA,NA,NA
"p13.E3","3","2",NA,NA,NA,NA,NA,NA
"p13.E4","1","2",NA,NA,NA,NA,NA,NA
"p13.E6","2",NA,NA,NA,NA,NA,NA,NA
"p13.E7","1","2",NA,NA,NA,NA,NA,NA
"p13.E8","1","2",NA,NA,NA,NA,NA,NA
"p13.E9","2","1",NA,NA,NA,NA,NA,NA
"p13.F1","1","4",NA,NA,NA,NA,NA,NA
"p13.F10","3","2",NA,NA,NA,NA,NA,NA
"p13.F11","2","3",NA,NA,NA,NA,NA,NA
"p13.F12","2","1",NA,NA,NA,NA,NA,NA
"p13.F2","3","2",NA,NA,NA,NA,NA,NA
"p13.F3","1","2",NA,NA,NA,NA,NA,NA
"p13.F4","2","1",NA,NA,NA,NA,NA,NA
"p13.F5","1",NA,NA,NA,NA,NA,NA,NA
"p13.F6","2","1","3",NA,NA,NA,NA,NA
"p13.F7","2",NA,NA,NA,NA,NA,NA,NA
"p13.F8","1","2",NA,NA,NA,NA,NA,NA
"p13.F9","4","1","4","2","4",NA,NA,NA
"p13.G1","2",NA,NA,NA,NA,NA,NA,NA
"p13.G10","4",NA,NA,NA,NA,NA,NA,NA
"p13.G2","3","1","2","4",NA,NA,NA,NA
"p13.G3","2","3","4",NA,NA,NA,NA,NA
"p13.G4","4","3","2",NA,NA,NA,NA,NA
"p13.G5","2",NA,NA,NA,NA,NA,NA,NA
"p13.G6","2",NA,NA,NA,NA,NA,NA,NA
"p13.G7","4","2","4","4","4",NA,NA,NA
"p13.G8","3","2","4",NA,NA,NA,NA,NA
"p13.H10","2",NA,NA,NA,NA,NA,NA,NA
"p13.H11","2",NA,NA,NA,NA,NA,NA,NA
"p13.H12","2","4","1",NA,NA,NA,NA,NA
"p13.H2","1","4","3","2",NA,NA,NA,NA
"p13.H3","4","2",NA,NA,NA,NA,NA,NA
"p13.H4","2",NA,NA,NA,NA,NA,NA,NA
"p13.H5","2",NA,NA,NA,NA,NA,NA,NA
"p13.H6","2","1",NA,NA,NA,NA,NA,NA
"p13.H7","2","3","4",NA,NA,NA,NA,NA
"p13.H9","4",NA,NA,NA,NA,NA,NA,NA
"p2.A1","2",NA,NA,NA,NA,NA,NA,NA
"p2.A10","1","4","3","2",NA,NA,NA,NA
"p2.A11","1","2",NA,NA,NA,NA,NA,NA
"p2.A2","2",NA,NA,NA,NA,NA,NA,NA
"p2.A5","2",NA,NA,NA,NA,NA,NA,NA
"p2.A6","2",NA,NA,NA,NA,NA,NA,NA
"p2.A7","1","2",NA,NA,NA,NA,NA,NA
"p2.A8","1","2",NA,NA,NA,NA,NA,NA
"p2.A9","4","2",NA,NA,NA,NA,NA,NA
"p2.B1","3","2",NA,NA,NA,NA,NA,NA
"p2.B10","1","2",NA,NA,NA,NA,NA,NA
"p2.B2","2",NA,NA,NA,NA,NA,NA,NA
